name,gender,birthyear,hpi,group
Muhammad,M,570,100,14
Genghis Khan,M,1162,97.72366930454572,20
Leonardo da Vinci,M,1452,97.46069111429894,23
Isaac Newton,M,1643,96.83656689384608,25
Ludwig van Beethoven,M,1770,96.58396866607794,26
Alexander the Great,M,-356,96.4275292058099,5
Aristotle,M,-384,96.0575881920088,5
Napoleon,M,1769,95.87985967642038,26
Julius Caesar,M,-100,95.84402947898472,8
Wolfgang Amadeus Mozart,M,1756,95.81115489050852,26
Plato,M,-427,95.7299993751055,4
Jesus,M,-4,95.52157509745837,9
Adolf Hitler,M,1889,95.48941975695465,27
Galileo Galilei,M,1564,95.3471136099765,24
Marco Polo,M,1254,95.22917765653636,21
Socrates,M,-470,95.15966536090718,4
Johann Sebastian Bach,M,1685,94.83112821636524,25
Albert Einstein,M,1879,94.79355039217693,27
Michelangelo,M,1475,94.64203389500403,23
William Shakespeare,M,1564,94.5476472602364,24
Martin Luther,M,1483,94.31472514082174,23
Christopher Columbus,M,1451,94.24198925160825,23
Archimedes,M,-287,93.92727499732312,6
Sigmund Freud,M,1856,93.67497865704992,27
Confucius,M,-551,93.6405642618057,3
Vincent van Gogh,M,1853,93.60248500833043,27
Nicolaus Copernicus,M,1473,93.50834547028497,23
Ferdinand Magellan,M,1480,93.47959189046432,23
Gautama Buddha,M,-566,93.4682486612815,3
Che Guevara,M,1928,93.40715531154272,28
Louis XIV of France,M,1638,93.36694819736604,25
Augustus,M,-63,93.31905977998504,8
Charles Darwin,M,1809,93.28949855811756,27
Karl Marx,M,1818,93.2259697883622,27
"Mary, mother of Jesus",F,-100,93.21255430209986,8
Immanuel Kant,M,1724,93.13362587525458,26
Elizabeth II,F,1926,93.04776992873964,28
Saint Peter,M,-1,92.98063670720428,9
Dante Alighieri,M,1265,92.90618060445854,21
René Descartes,M,1596,92.74489072269915,24
Thomas Jefferson,M,1743,92.69298017217578,26
Joseph Stalin,M,1879,92.61190002044071,27
Thomas Edison,M,1847,92.59470754317134,27
Vladimir Lenin,M,1870,92.51501366506712,27
Avicenna,M,980,92.50853213220113,18
Joan of Arc,F,1412,92.4616853421054,23
Vasco da Gama,M,1460,92.45472821974164,23
Johannes Gutenberg,M,1394,92.44852586931128,22
Homer,M,-800,92.32471469120318,1
Pablo Picasso,M,1881,92.23554632409926,27
Paul the Apostle,M,5,92.15727447644468,9
Raphael,M,1483,92.15720622511196,23
Nikola Tesla,M,1856,92.13407958748397,27
Jean-Jacques Rousseau,M,1712,92.04598159604376,26
Antonio Vivaldi,M,1678,91.90022192430216,25
Pope Francis,M,1936,91.89195674273024,28
Nelson Mandela,M,1918,91.88007558031636,28
Charlemagne,M,748,91.8611238226206,16
Friedrich Nietzsche,M,1844,91.7968781742311,27
Johann Wolfgang von Goethe,M,1749,91.7266373892842,26
Mahatma Gandhi,M,1869,91.7071059087296,27
Frédéric Chopin,M,1810,91.60010753838866,27
Adam Smith,M,1723,91.58196680328064,26
Fyodor Dostoevsky,M,1821,91.42116214672306,27
Muhammad Ali,M,1942,91.41846930174786,28
Mustafa Kemal Atatürk,M,1881,91.36617035065288,27
Rembrandt,M,1606,91.16377913329204,25
J. R. R. Tolkien,M,1892,91.1118158824398,27
Carl Linnaeus,M,1707,91.07347310768742,26
Niccolò Machiavelli,M,1469,91.02459105923484,23
Hans Christian Andersen,M,1805,90.93284403598136,27
Herodotus,M,-484,90.9111645655966,4
Elizabeth I of England,F,1533,90.90742393878584,24
Voltaire,M,1694,90.88733642242448,25
Saladin,M,1138,90.8740144895535,20
Marie Curie,F,1867,90.85337302088593,27
Jimmy Carter,M,1924,90.84575535132764,28
Constantine the Great,M,272,90.75637691788889,11
Charlie Chaplin,M,1889,90.71551591593338,27
Blaise Pascal,M,1623,90.70058182156885,25
Salvador Dalí,M,1904,90.65338737008894,28
Timur,M,1336,90.5932661641764,22
Louis Pasteur,M,1822,90.54107669360668,27
Hippocrates,M,-460,90.52142752538651,4
Augustine of Hippo,M,354,90.32377753457683,12
John the Baptist,M,-20,90.30246786602903,8
Attila,M,406,90.2925090021937,13
Franz Kafka,M,1883,90.2644360006579,27
John Locke,M,1632,90.2481349353566,25
Francis Bacon,M,1561,90.23584164126687,24
Suleiman the Magnificent,M,1494,90.22114018773264,23
Joseph Haydn,M,1732,90.20713877440424,26
Hannibal,M,-183,90.14301592306369,7
Leo Tolstoy,M,1828,90.12765051491536,27
Benito Mussolini,M,1883,90.00811483806905,27
Victor Hugo,M,1802,89.96473441183228,27
Pythagoras,M,-570,89.89684848098958,3
Thomas Aquinas,M,1225,89.88497628684526,21
Giuseppe Verdi,M,1813,89.79225075277583,27
Albrecht Dürer,M,1471,89.78282563823323,23
Frida Kahlo,F,1907,89.75289403228372,28
Winston Churchill,M,1874,89.72652117020075,27
Alfred Nobel,M,1833,89.69396462624638,27
Otto von Bismarck,M,1815,89.68633655456249,27
Mao Zedong,M,1893,89.63600214829405,27
Edgar Allan Poe,M,1809,89.63132988473224,27
James Watt,M,1736,89.6288929950956,26
Georg Wilhelm Friedrich Hegel,M,1770,89.62093459017171,26
Spartacus,M,-109,89.39132610947266,7
Richard Wagner,M,1813,89.38538396774358,27
Claude Monet,M,1840,89.33700537263516,27
Stephen Hawking,M,1942,89.32175465171915,28
Ulysses S. Grant,M,1822,89.27167416935974,27
Cicero,M,-106,89.25465213519486,7
Commodus,M,161,89.25163550870572,10
Ragnar Lodbrok,M,850,89.20628292233583,17
George Frideric Handel,M,1685,89.20098823571041,25
Peter Paul Rubens,M,1577,89.19705477935929,24
Carl Friedrich Gauss,M,1777,89.18306844360151,26
Umar,M,585,89.18275184579548,14
Abraham Lincoln,M,1809,89.14230026210323,27
Queen Victoria,F,1819,89.14117637918869,27
Pope John Paul II,M,1920,89.12941075278593,28
Marilyn Monroe,F,1926,89.12374616983585,28
Franz Schubert,M,1797,89.1076858373277,26
Carles Puigdemont,M,1962,89.08674572796608,28
Mikhail Gorbachev,M,1931,89.0834425030672,28
Montesquieu,M,1689,89.0754155344199,25
Nero,M,37,89.02223522033343,9
Giordano Bruno,M,1548,88.91942461990432,24
Jules Verne,M,1828,88.85287902574353,27
Molière,M,1622,88.77183959605698,25
Max Weber,M,1864,88.73380385314833,27
Louis XVI of France,M,1754,88.72736052126356,26
Honoré de Balzac,M,1799,88.69720556466731,26
Marie Antoinette,F,1755,88.67393093338065,26
Arthur Schopenhauer,M,1788,88.67275779963956,26
Pelé,M,1940,88.66399556973664,28
Nostradamus,M,1503,88.62974191142945,24
Gottfried Wilhelm Leibniz,M,1646,88.60472394528495,25
Albert Camus,M,1913,88.58925648756032,28
Yuri Gagarin,M,1934,88.57993475712887,28
Thomas Hobbes,M,1588,88.52465453747814,24
Sophocles,M,-497,88.52134973307984,4
Sylvester Stallone,M,1946,88.47094681035666,28
Caravaggio,M,1571,88.46348659214885,24
Justinian I,M,482,88.45061793592386,13
Saint George,M,280,88.40713877006246,11
Francis of Assisi,M,1182,88.40271045147836,20
Marcus Aurelius,M,121,88.39065114645797,10
Pyotr Ilyich Tchaikovsky,M,1840,88.38030424436185,27
Epicurus,M,-341,88.36199996115843,5
Virgil,M,-70,88.34760689863802,8
Steve Jobs,M,1955,88.26617654213966,28
Petrarch,M,1304,88.24959903675897,22
"Charles V, Holy Roman Emperor",M,1500,88.23771906713031,24
Ptolemy,M,100,88.23125841871816,10
Michael Faraday,M,1791,88.22844146987934,26
Freddie Mercury,M,1946,88.20693426776604,28
Pericles,M,-494,88.20239022828908,4
Jean-Paul Sartre,M,1905,88.19133353191839,28
Huang Xianfan,M,1899,88.186885673032,27
Judas Iscariot,M,50,88.17569320724918,9
Aesop,M,-620,88.1725568122548,2
Malcolm X,M,1925,88.12579147489139,28
Dmitri Mendeleev,M,1834,88.11406168749207,27
Edvard Munch,M,1863,88.09554682201839,27
Elvis Presley,M,1935,88.09126644981625,28
Bob Marley,M,1945,88.07094733292143,28
Qin Shi Huang,M,-258,88.0483066754207,6
Henry VIII of England,M,1491,88.024854549824,23
Anton Chekhov,M,1860,88.0104845600932,27
Wilhelm Röntgen,M,1845,87.98681269963012,27
Leonhard Euler,M,1707,87.93566199768965,26
Richard III of England,M,1452,87.92649632025808,23
Maria Theresa,F,1717,87.91265901487816,26
Johannes Vermeer,M,1632,87.90224743201676,25
Martin Van Buren,M,1782,87.891847821058,26
Peter the Great,M,1672,87.88643251907126,25
Alexander Pushkin,M,1799,87.85740449145293,26
Heraclitus,M,-535,87.83070711905012,3
Amerigo Vespucci,M,1454,87.82188573517557,23
Giovanni Boccaccio,M,1313,87.8124518728231,22
Francisco Goya,M,1746,87.78171649389309,26
John F. Kennedy,M,1917,87.77478681516358,28
Fidel Castro,M,1926,87.77406289080913,28
Leon Trotsky,M,1879,87.76706570125965,27
Josip Broz Tito,M,1892,87.7620823321967,27
Caligula,M,12,87.75846793660392,9
Agatha Christie,F,1890,87.74285261279508,27
Hillary Clinton,F,1947,87.73901869130849,28
Antoni Gaudí,M,1852,87.72573714495996,27
Vlad the Impaler,M,1431,87.70431088196702,23
Jack the Ripper,M,1850,87.6383269734962,27
Vladimir Putin,M,1952,87.63807703177443,28
Ovid,M,-43,87.59098969855887,8
Neil Armstrong,M,1930,87.58153790973508,28
Steven Spielberg,M,1946,87.56785068991644,28
Baruch Spinoza,M,1632,87.56466841690376,25
Erasmus,M,1466,87.55641600416425,23
Antoine de Saint-Exupéry,M,1900,87.55613489150348,28
Thales of Miletus,M,-623,87.50063474483217,2
Omar Khayyam,M,1048,87.49654099852393,19
Ernest Hemingway,M,1899,87.47091831611017,27
Trajan,M,53,87.45500932201759,9
John Calvin,M,1509,87.44252910519205,24
Henry Kissinger,M,1923,87.40139748876568,28
Seneca the Younger,M,-4,87.37123046314586,8
Muhammad ibn Musa al-Khwarizmi,M,780,87.34336151763647,16
Le Corbusier,M,1887,87.33147968107282,27
Ali,M,601,87.27485380854546,15
Charles Dickens,M,1812,87.26747093759347,27
Saddam Hussein,M,1937,87.23413438156429,28
Franz Joseph I of Austria,M,1830,87.23388258748803,27
"Mary, Queen of Scots",F,1542,87.23025363546341,24
Bartolomeu Dias,M,1450,87.21442788191835,23
Charles de Gaulle,M,1890,87.21306578190122,27
Nicholas II of Russia,M,1868,87.21144737372742,27
Diocletian,M,244,87.1861513305987,11
Saint Joseph,M,-100,87.16975769262663,8
Sandro Botticelli,M,1445,87.16915022985265,23
Franz Liszt,M,1811,87.15698973358249,27
Pontius Pilate,M,-12,87.13808796535436,8
Hurrem Sultan,F,1502,87.13431423917326,24
Friedrich Engels,M,1820,87.10200584666154,27
Benjamin Franklin,M,1706,87.0879391675025,26
Mark Twain,M,1835,87.04372892041226,27
Euclid,M,-350,87.03410175531424,5
Alan Turing,M,1912,86.96960772112895,28
Miguel de Cervantes,M,1547,86.9211948713515,24
Kim Il-sung,M,1912,86.86258894400441,28
Gustav Mahler,M,1860,86.85549649285328,27
Nebuchadnezzar II,M,-630,86.84783784685439,2
Johannes Brahms,M,1833,86.84380333116883,27
Paul Gauguin,M,1848,86.83912941621826,27
Lorenzo de' Medici,M,1449,86.82737337135816,23
Pocahontas,F,1595,86.82024146902063,24
Francisco Franco,M,1892,86.80709757668357,27
Ronald Reagan,M,1911,86.80244185886058,28
Alfred Hitchcock,M,1899,86.7990699826633,27
Paul Cézanne,M,1839,86.75651972762356,27
Ivan the Terrible,M,1530,86.7465125545953,24
Bruce Lee,M,1940,86.73186934100649,28
Horace,M,-65,86.72760269561236,8
Richard I of England,M,1157,86.72065390444331,20
Nicolae Ceaușescu,M,1918,86.71161227005597,28
Émile Zola,M,1840,86.69482341577921,27
Nikita Khrushchev,M,1894,86.68840027790371,27
Diego Velázquez,M,1599,86.6707188206453,24
Abu Bakr,M,573,86.66890281349939,14
Max Planck,M,1858,86.62669991611072,27
"Frederick I, Holy Roman Emperor",M,1122,86.61976471401145,20
Averroes,M,1126,86.61572758438575,20
Rumi,M,1207,86.53133011143251,21
Anne Boleyn,F,1501,86.53029317534579,24
Hernán Cortés,M,1485,86.52783829865875,23
Martin Scorsese,M,1942,86.48561523323512,28
James Cook,M,1728,86.480972251178,26
Henrik Ibsen,M,1828,86.47271241148455,27
Selim II,M,1524,86.4539346378837,24
Napoleon III,M,1808,86.45349793454706,27
Pope Benedict XVI,M,1927,86.44968119322994,28
Alexander Graham Bell,M,1847,86.43843519799896,27
Franklin D. Roosevelt,M,1882,86.42664553580994,27
Theodosius I,M,340,86.42077266490584,12
Carl Jung,M,1875,86.41918631094714,27
Empress Elisabeth of Austria,F,1837,86.41649323949218,27
Rosa Luxemburg,F,1871,86.38862619329915,27
Walt Disney,M,1901,86.38685207015969,28
John Lennon,M,1940,86.38535561645872,28
Democritus,M,-460,86.38000643220433,4
Anne Frank,F,1929,86.37216950013755,28
George Orwell,M,1903,86.36426429852186,28
Robert Schumann,M,1810,86.35225005561284,27
Henri Matisse,M,1869,86.34302324606047,27
Mary I of England,F,1516,86.33843835284148,24
Edvard Grieg,M,1843,86.3133867043138,27
Gregor Mendel,M,1822,86.31158024275454,27
Alexander Fleming,M,1881,86.30896111804701,27
Mehmed the Conqueror,M,1432,86.29609711536676,23
Arthur Conan Doyle,M,1859,86.29434949985769,27
Gustav Klimt,M,1862,86.25514617645995,27
Catherine the Great,F,1762,86.23049041050528,26
Alessandro Volta,M,1745,86.21503677984852,26
Édith Piaf,F,1915,86.20119809669607,28
Louis XV of France,M,1710,86.19477305962202,26
Osman I,M,1254,86.18621631692325,21
Selim I,M,1470,86.18293363456857,23
Pieter Bruegel the Elder,M,1525,86.15230655179671,24
James K. Polk,M,1795,86.14175496259097,26
Roald Amundsen,M,1872,86.12906142219069,27
Eratosthenes,M,-276,86.11963201244352,6
Ivan Pavlov,M,1849,86.11447363796272,27
Diogenes,M,-404,86.1038580707577,4
Henry IV of France,M,1553,86.09443307663483,24
Mary Magdalene,F,-10,86.09258239761678,9
Antoine Lavoisier,M,1743,86.0909320504633,26
Stendhal,M,1783,86.07767921266519,26
Alexandre Dumas,M,1802,86.07099874843146,27
Margaret Thatcher,F,1925,86.05751199949071,28
David Hume,M,1711,86.05149086831123,26
Heinrich Himmler,M,1900,86.03969141055454,28
Laozi,M,-604,86.02612723193954,2
Andrew the Apostle,M,-6,86.02066426035718,9
Martin Heidegger,M,1889,86.00905784948466,27
Donatello,M,1386,86.00165859032678,22
Thomas Mann,M,1875,85.99533666639148,27
Émile Durkheim,M,1858,85.9729232897277,27
John Maynard Keynes,M,1883,85.96675190289693,27
"Prince Philip, Duke of Edinburgh",M,1921,85.96479738266771,28
Ibn Khaldun,M,1332,85.96463586567914,22
Niccolò Paganini,M,1782,85.95778521219806,26
Niels Bohr,M,1885,85.95721517170983,27
Jan Hus,M,1369,85.9401114976463,22
Ashoka,M,-304,85.91226991859301,5
Ennio Morricone,M,1928,85.91145377022099,28
Pablo Escobar,M,1949,85.9075222852863,28
Hermann Hesse,M,1877,85.90534826955266,27
Marcel Proust,M,1871,85.89730178487314,27
Mary II of England,F,1662,85.89592668276353,25
Hadrian,M,76,85.88675694849482,9
Tiberius,M,-42,85.85941782810565,8
Titian,M,1488,85.85756019058572,23
Rajneesh,M,1931,85.85170605087784,28
Alain Delon,M,1935,85.85104265825996,28
Darius the Great,M,-550,85.83227366161849,3
Grigori Rasputin,M,1869,85.81755523760803,27
Oscar Wilde,M,1854,85.80516798162405,27
Giacomo Casanova,M,1725,85.77427585010845,26
Ahmed I,M,1590,85.76302414775776,24
Søren Kierkegaard,M,1813,85.75154234063677,27
Michael Jackson,M,1958,85.73261685582645,28
Saint Nicholas,M,270,85.72733210254871,11
Boris Yeltsin,M,1931,85.72593331149955,28
Johannes Kepler,M,1571,85.69880520325658,24
Ibn Battuta,M,1304,85.69717605291757,22
Clint Eastwood,M,1930,85.69470059420252,28
